,X,TEMP: Step-1,TEMP: Step-2,TEMP: Step-3,TEMP: Step-4,TEMP: Step-5,TEMP: Step-6,TEMP: Step-7,TEMP: Step-8,TEMP: Step-9,TEMP: Step-10,TEMP: Step-11,TEMP: Step-12,TEMP: Step-13,TEMP: Step-14,TEMP: Step-15,TEMP: Step-16,TEMP: Step-17,TEMP: Step-18,TEMP: Step-19,TEMP: Step-20,TEMP: Step-21,TEMP: Step-22,TEMP: Step-23,TEMP: Step-24,TEMP: Step-25,TEMP: Step-26,TEMP: Step-27,TEMP: Step-28
0,0,38.01,56.03,74.04,89.23,99.73,107.99,114.9,120.9,126.23,131.05,135.46,139.53,143.33,146.89,143.33,139.53,135.46,131.05,126.23,120.9,114.9,107.99,99.73,89.23,74.04,56.03,38.01,20
1,0.01,30.3593,45.5488,61.0652,78.3576,89.2518,97.6743,104.664,110.704,116.054,120.882,125.294,129.364,133.159,136.716,134.638,131.697,128.364,124.651,120.52,115.899,110.66,104.6,97.3501,88.1656,75.029,61.7618,46.6333,31.0494
2,0.02,24.7515,37.3853,50.6516,68.8928,80.0033,88.506,95.5278,101.576,106.925,111.744,116.146,120.205,123.988,127.534,126.624,124.452,121.782,118.692,115.178,111.191,106.626,101.317,94.9519,86.9075,75.5195,65.6598,53.0974,39.6981
3,0.03,20.7173,31.0632,42.3101,60.6446,71.8112,80.32,87.3304,93.3595,98.6857,103.482,107.862,111.902,115.666,119.195,119.2,117.715,115.641,113.114,110.154,106.733,102.772,98.1292,92.5447,85.4944,75.6041,68.181,57.849,46.4022
4,0.04,17.8712,26.2014,35.6498,53.4608,64.5394,72.9871,79.9465,85.9305,91.2164,95.9766,100.324,104.335,108.073,111.58,112.299,111.425,109.887,107.866,105.407,102.498,99.0772,95.0299,90.137,83.9583,75.3573,69.6767,61.2439,51.5264
5,0.05,15.9008,22.4924,30.3538,47.2152,58.0778,66.4035,73.2762,79.1912,84.42,89.1313,93.4364,97.4118,101.118,104.597,105.868,105.532,104.477,102.915,100.908,98.4602,95.5272,92.0139,87.7369,82.326,74.8402,70.4124,63.5668,55.3663
6,0.06,14.5603,19.6873,26.1631,41.8,52.3355,60.4846,67.2376,73.062,78.2182,82.8691,87.1231,91.0551,94.7235,98.1701,99.8647,100,99.3782,98.2298,96.6329,94.6033,92.1108,89.0781,85.3517,80.6202,74.1032,70.5862,65.0462,58.163
7,0.07,13.6624,17.5851,22.8652,37.1208,47.2353,55.1593,61.7631,67.4769,72.5462,77.126,81.3206,85.2027,88.828,92.2374,94.2532,94.7972,94.5625,93.7881,92.563,90.9128,88.8193,86.2205,82.988,78.8599,73.188,70.3443,65.8645,60.1143
8,0.08,13.0692,16.0242,20.2851,33.0933,42.7107,50.3674,56.7954,62.3806,67.3499,71.8488,75.9764,79.8023,83.3794,86.7475,89.0028,89.898,90.0082,89.5712,88.6831,87.3776,85.6461,83.4398,80.6518,77.0614,72.1297,69.7942,66.1676,61.3829
9,0.09,12.682,14.8761,18.2791,29.6414,38.7032,46.0567,52.2855,57.7259,62.5834,66.9924,71.0459,74.8099,78.3342,81.657,84.0872,85.2809,85.6967,85.5634,84.9807,83.9883,82.5859,80.7355,78.3483,75.2386,70.9575,69.0149,66.071,62.1023
